AdoptionSpeed,MaturitySize,FurLength,Dewormed,Vaccinated,Sterilized,Health,Fee,Age
2,1,1,2,2,2,1,100,3
0,2,2,3,3,3,1,0,1
3,2,2,1,1,2,1,0,1
2,2,1,1,1,2,1,150,4
2,2,1,2,2,2,1,0,1
2,2,1,2,2,2,1,0,3
1,2,3,2,2,3,1,300,12
3,2,1,2,2,2,1,0,0
1,2,2,2,2,2,1,0,2
4,2,2,3,3,3,1,0,12
1,2,1,1,2,2,1,0,2
1,3,3,1,1,2,1,50,3
2,2,3,1,1,2,1,0,2
1,1,2,2,2,3,1,0,2
2,2,2,3,3,3,1,0,3
4,2,2,3,3,3,1,0,78
3,1,1,1,1,1,1,0,6
4,2,1,1,2,1,1,10,8
2,2,1,1,2,2,1,0,2
4,1,1,2,2,2,1,0,1
2,2,2,1,2,1,1,0,12
4,2,1,1,2,2,1,0,3
4,2,2,2,2,3,1,0,0
4,2,2,1,1,1,1,0,10
1,1,1,1,2,2,1,0,3
2,3,2,1,1,1,1,0,36
1,2,2,2,2,2,1,0,2
2,2,1,2,2,2,1,0,1
3,3,1,1,1,2,1,1,14
2,1,1,1,2,2,1,0,1
3,1,2,1,1,1,1,0,4
1,1,1,2,2,2,1,0,1
4,2,1,1,1,2,1,0,24
3,1,1,2,2,2,1,0,4
4,1,1,2,1,2,1,1,3
1,2,3,2,2,2,1,0,12
4,2,2,1,1,3,1,0,24
1,1,2,2,2,2,1,0,2
1,2,1,2,2,2,1,0,12
3,2,2,1,1,2,1,0,12
3,2,2,1,2,2,1,0,2
2,1,1,2,2,2,1,0,1
1,2,3,3,3,3,2,0,24
3,2,1,1,1,1,1,0,5
4,2,2,1,2,1,1,0,12
4,2,1,2,2,2,1,0,4
3,1,3,1,1,2,1,0,5
4,2,1,1,1,1,1,0,72
3,2,1,3,3,2,1,0,1
2,3,3,1,1,1,1,0,60
3,2,2,1,2,1,1,0,1
4,2,1,1,1,1,1,100,6
3,2,1,1,1,2,1,0,2
4,2,2,1,1,1,1,0,12
