AdoptionSpeed,MaturitySize,FurLength,Dewormed,Vaccinated,Sterilized,Health,Fee,Age,NameCounts,Named
2,1,1,2,2,2,1,100,3,1,1
0,2,2,3,3,3,1,0,1,0,0
3,2,2,1,1,2,1,0,1,1,1
2,2,1,1,1,2,1,150,4,11,1
2,2,1,2,2,2,1,0,1,5,1
2,2,1,2,2,2,1,0,3,0,0
1,2,3,2,2,3,1,300,12,2,1
3,2,1,2,2,2,1,0,0,1,1
1,2,2,2,2,2,1,0,2,0,0
4,2,2,3,3,3,1,0,12,0,0
1,2,1,1,2,2,1,0,2,4,1
1,3,3,1,1,2,1,50,3,2,1
2,2,3,1,1,2,1,0,2,20,1
1,1,2,2,2,3,1,0,2,1,1
2,2,2,3,3,3,1,0,3,1,1
4,2,2,3,3,3,1,0,78,39,1
3,1,1,1,1,1,1,0,6,54,1
4,2,1,1,2,1,1,10,8,49,1
2,2,1,1,2,2,1,0,2,12,1
4,1,1,2,2,2,1,0,1,0,0
2,2,2,1,2,1,1,0,12,1,1
4,2,1,1,2,2,1,0,3,1,1
4,2,2,2,2,3,1,0,0,1,1
4,2,2,1,1,1,1,0,10,3,1
1,1,1,1,2,2,1,0,3,1,1
2,3,2,1,1,1,1,0,36,7,1
1,2,2,2,2,2,1,0,2,0,0
2,2,1,2,2,2,1,0,1,0,0
3,3,1,1,1,2,1,1,14,5,1
2,1,1,1,2,2,1,0,1,16,1
3,1,2,1,1,1,1,0,4,1,1
1,1,1,2,2,2,1,0,1,1,1
4,2,1,1,1,2,1,0,24,1,1
3,1,1,2,2,2,1,0,4,0,0
4,1,1,2,1,2,1,1,3,1,1
1,2,3,2,2,2,1,0,12,27,1
4,2,2,1,1,3,1,0,24,0,0
1,1,2,2,2,2,1,0,2,7,1
1,2,1,2,2,2,1,0,12,1,1
3,2,2,1,1,2,1,0,12,0,0
3,2,2,1,2,2,1,0,2,33,1
2,1,1,2,2,2,1,0,1,1,1
1,2,3,3,3,3,2,0,24,1,1
3,2,1,1,1,1,1,0,5,14,1
4,2,2,1,2,1,1,0,12,1,1
4,2,1,2,2,2,1,0,4,1,1
3,1,3,1,1,2,1,0,5,1,1
4,2,1,1,1,1,1,0,72,1,1
3,2,1,3,3,2,1,0,1,6,1
2,3,3,1,1,1,1,0,60,1,1
3,2,2,1,2,1,1,0,1,1,1
4,2,1,1,1,1,1,100,6,1,1
3,2,1,1,1,2,1,0,2,1,1
4,2,2,1,1,1,1,0,12,1,1
3,1,1,3,3,3,2,0,3,2,1
2,1,2,1,1,2,1,0,3,8,1
4,2,1,1,2,2,1,30,5,1,1
2,2,2,1,1,1,1,0,24,2,1
1,3,2,2,2,2,1,0,4,1,1
4,1,1,3,3,3,1,0,2,1,1
1,2,1,2,2,2,1,0,1,1,1
4,2,1,1,1,3,1,0,9,1,1
4,2,1,2,2,1,1,0,60,15,1
2,2,2,2,2,2,1,0,2,1,1
3,2,3,1,1,2,1,0,2,1,1
1,2,2,1,1,2,1,0,48,3,1
4,2,1,2,2,2,1,0,3,0,0
2,1,1,1,2,2,1,0,4,1,1
2,2,1,2,2,2,1,0,9,1,1
4,2,2,1,1,1,1,0,62,1,1
4,2,1,1,1,1,1,0,36,2,1
3,2,2,1,2,2,1,0,1,1,1
